"Date Added","Track Item",Retailer,"Retailer Item ID",TLD,UPC,Title,Manufacturer,Brand,"Client Product Group",Category,Subcategory,"Amazon Sub Category"
7/1/2018,"Needs Review - Kragle Sales Report",Amazon,B0009WRKUC,com,',"DEWALT D26441 2.4 Amp 1/4 Sheet Palm Grip Sander with Cloth Dust Bag","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B0052EDL46,com,',"PORTER-CABLE PC4FBP 4-Inch Firm Buffing Pad, Orange","Black and Decker",,,,,
7/1/2018,"Needs Review - Kragle Sales Report",Amazon,B00002X2HQ,com,',"Stanley 46-071 Premium Quick Square Layout Tool, 7","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B004A82W0E,com,',"BLACK+DECKER HH2455 3.3-Amp HedgeHog Hedge Trimmer with Rotating Handle And Dual Blade Action Blades, 24","Black and Decker",,,,,
11/2/2017,Z-EXCLUDE,Amazon,B00LRK7JZG,com,',"Accessory for Irobot Roomba 600 610 620 650 Series Vacuum Cleaner Replacement Part Kit - Includes 3 Pack Filter, Side Brush, and 1 Pack Bristle Brush and Flexible Beater Brush, 1 Pack Cleaning Tool",,,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00JILGZOC,com,',"BLACK+DECKER BDH2020FLFH MAX Lithium Flex Vacuum with Stick Vacuum Floor Head and Pet Hair Brush, 20-volt - Cordless","Black and Decker",,,,,
11/2/2017,Z-EXCLUDE,Amazon,B004VRZTKY,com,',"Grass Gator 4680 Brush Cutter Extra Heavy Duty Replacement Trimmer Head",,,,,,
11/2/2017,Z-EXCLUDE,Amazon,B00A77J8HM,com,'885155002211,"Authentic iRobot Parts - Roomba 700 Series Replenishment Kit",,,,,,"7005 Accessories"
11/2/2017,Z-EXCLUDE,Amazon,B007ZRYZKC,com,',"Makita CB-440 Replacement Carbon Brush Set for Most Makita 18v Cordless Tools",,,,,,
11/2/2017,Z-EXCLUDE,Amazon,B00GMS9N3Y,com,'617215307000,"MaximalPower VA FL BRUSH 12-Inch 1.25-Inch 1-1/4-Inch 32mm  Vacuum Cleaner Attachment 360 Floor Brush Tool Replacement",,,,,,"55290 Vacuum & Dust Collector Accessories"
11/2/2017,Z-EXCLUDE,Amazon,B00GL89OT8,com,'810841010836,"Neato Combo Brush for Neato XV Series Robot Vacuums",,,,,,"7005 Accessories"
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00CY8N91S,com,',"American Tool Companies 1840236 Irwin Tools Performance Threading System with 1-Inch Die Set, 38-Piece","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00CY8N8Y6,com,',"American Tool Companies 1840237 Irwin Tools Performance Threading System with 1-Inch Self-Aligning Die Set, 38-Piece","Black and Decker",,,,,
11/2/2017,Z-EXCLUDE,Amazon,B0091YYUAM,com,'011120224245,"Bissell PowerFresh Steam Mop, Floor Steamer, Tile Cleaner, and Hard Wood Floor Cleaner, 1940",,,,,,"7001 Upright Vacuums"
11/2/2017,Z-EXCLUDE,Amazon,B00AZBIZTW,com,'011120223774,"BISSELL 9595A CleanView Bagless Vacuum with OnePass",,,,,,"7001 Upright Vacuums"
11/2/2017,Z-EXCLUDE,Amazon,B00IET1H6A,com,'811827020030,"Bissell Commercial BG9100NM Rechargeable Cordless Sweeper",,,,,,"7010 Electric Brooms"
11/2/2017,Z-EXCLUDE,Amazon,B003R3JFJO,com,'011120029581,"BISSELL Garage Pro Wet/Dry Vacuum Complete Wall-Mounting System, 18P03 - Corded",,,,,,"7001 Upright Vacuums"
11/2/2017,Z-EXCLUDE,Amazon,B001GL1NXU,com,'011120008104,"Bissell Natural Sweep Carpet and Floor Sweeper wit",,,,,,"7010 Electric Brooms"
11/2/2017,Z-EXCLUDE,Amazon,B007VFYCSI,com,'011120123654,"BISSELL Steam Mop Select, Titanium, 94E9T",,,,,,"7010 Electric Brooms"
11/2/2017,Z-EXCLUDE,Amazon,B0001WW2GC,com,'011120002188,"BISSELL Sturdy Sweep Sweeper, 2402",,,,,,"7010 Electric Brooms"
11/2/2017,Z-EXCLUDE,Amazon,B0001WW2G2,com,'011120002164,"BISSELL Swift Sweep Sweeper, 2201B",,,,,,"7010 Electric Brooms"
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B0064MRP4M,com,',"Black & Decker BDPS200 Paint Sprayer with Side Fill","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B001EWEV26,com,',"BLACK+DECKER PKS160 Power Scrubber","Black and Decker",,,,,
11/2/2017,Z-EXCLUDE,Amazon,B006LXOJC0,com,'885911268707,"BLACK+DECKER CHV1410L 16V Cordless Lithium Hand Vacuum",,,,,,"7007 Handheld Vacuums"
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00602J2ZQ,com,',"BLACK+DECKER LSW20 20V MAX Lithium Ion Sweeper","Black and Decker",,,,,
11/2/2017,Z-EXCLUDE,Amazon,B00IOEFBKS,com,'885911324014,"Black+Decker BDH2000PL MAX Lithium Pivot Vacuum, 20-volt",,,,,,"7007 Handheld Vacuums"
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRS7PM,com,',"Bolt-Grip 1859102 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRSEVO,com,',"Bolt-Grip 1859103 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRSUPY,com,',"Bolt-Grip 1859104 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRSOU0,com,',"Bolt-Grip 1859105 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRRKT6,com,',"Bolt-Grip 1859106 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRRPUK,com,',"Bolt-Grip 1859107 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRS7FC,com,',"Bolt-Grip 1859108 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRSEUA,com,',"Bolt-Grip 1859109 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRSEJG,com,',"Bolt-Grip 1859110 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRSV1C,com,',"Bolt-Grip 1859111 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRRPVY,com,',"Bolt-Grip 1859112 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRRJPG,com,',"Bolt-Grip 1859113 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 1/2-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRRQTK,com,',"Bolt-Grip 1859114 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 1/2-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRS7S4,com,',"Bolt-Grip 1859115 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 1/2-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRSEX2,com,',"Bolt-Grip 1859116 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 1/2-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRSORI,com,',"Bolt-Grip 1859125 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRRZXC,com,',"Bolt-Grip 1859126 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRRKB4,com,',"Bolt-Grip 1859127 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRYAMG,com,',"Bolt-Grip 1859128 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRY4RM,com,',"Bolt-Grip 1859129 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor with 3/8-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRY4EU,com,',"Bolt-Grip 1859130 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor with 1/2-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRY46S,com,',"Bolt-Grip 1859131 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor with 1/2-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRY4AO,com,',"Bolt-Grip 1859133 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor with 1/2-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRY4OA,com,',"Bolt-Grip 1859134 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor with 1/2-Inch Square Drive with 1/4-Inch Hex Adapter","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRSP40,com,',"Bolt-Grip 1859141 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor with 3/8-Inch Square Drive Set, 4-Piece","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRS0DG,com,',"Bolt-Grip 1859147 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor with 3/8-Inch Square Drive Set, 4-Piece","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRRK9G,com,',"Bolt-Grip 1859148 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 3/8-Inch Square Drive and Pro Set, 8-Piece","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRSEP0,com,',"Bolt-Grip 1859151 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor, 8-Piece","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LFRRZQE,com,',"Bolt-Grip 1859152 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractor with 19-Piece Set with 1/4-Inch Hex Adapters","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LMDV64I,com,',"Bolt-Grip 1876226 Irwin Tools Impact Performance Series Bolt Grip Bolt Extractors Rail Set with 1/4-Inch Hex Adapter, 8-Piece","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LMDHYXK,com,',"Bolt-Grip 1876227 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractors Rail Set with 1/4-Inch Hex Adapter, 3/8-Inch Square Drive, 8-Piece","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LMDW2PA,com,',"Bolt-Grip 1900534 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor, 9/16-Inch, 3/8-Inch Square Drive","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LMDH1G0,com,',"Bolt-Grip 1900540 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor, 3/4-Inch, 3/8-Inch Square Drive","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LMDGTFY,com,',"Bolt-Grip 1900562 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor, 13/16-Inch, 1/2-Inch Square Drive","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LMDGTOK,com,',"Bolt-Grip 1900563 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor, 7/8-Inch, 1/2-Inch Square Drive","Black and Decker",,,,,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B00LMDGW2E,com,',"Bolt-Grip 1900564 Irwin Tools Impact Performance Series Bolt Grip Deep Well Bolt Extractor, 15/16-Inch, 1/2-Inch Square Drive","Black and Decker",,,,,
11/2/2017,Y,Amazon,B00NQUJ2AK,com,',"Bosch GLL 2 Self-Leveling Cross-Line Laser Level with Mount (Discontinued by Manufacturer)",BOSCH,BOSCH,"CONSTRUCTION LASERS","LINE LASERS",,
7/2/2018,"Needs Review - Kragle Sales Report",Amazon,B008J2IPW6,com,',"BOSTITCH BTST19802 Rolling Tool Box","Black and Decker",,,,,
11/2/2017,Z-EXCLUDE,Amazon,B000NHTG5A,com,'081834002132,"CH Hanson Company 00213 VersaSharp 10 Pencil Tube",,,,,,"68200 Measuring & Layout Tools & Accessories"
11/2/2017,Z-EXCLUDE,Amazon,B002O16VKQ,com,'098584000554,"Calculated Industries 6025 Scale Master Pro Digital Plan Measure",,,,,,"68200 Measuring & Layout Tools & Accessories"
11/2/2017,Z-EXCLUDE,Amazon,B00L4WNM7Q,com,'028484331632,"Casabella Wayclean Upright Sweep Set, 35-Inch Broom",,,,,,"7007 Handheld Vacuums"
11/2/2017,Z-EXCLUDE,Amazon,B00CP8DF3O,com,'885911260510,"Dewalt DCV580H 18/20V MAX Cordless Wet-Dry Vacuum",,,,,,"32180 Wet Dry Vacs"
